romanized	name_jp	text_jp	name_en	text_en	name_zh-CN	text_zh-CN	name_zh-TW	text_zh-TW
Meruru	メルル	"みんなの応援が聞こえる……
力が集まってくる、これなら！"	Meruru	I can hear everyone's voices. They're cheering us on... I can feel my power surging!	梅露露	"我能听到国民们的助威声……
感受到汇聚而来的力量。一定能行！"	梅露露	"我可以聽見大家在為我們加油……！
力量正匯集而來，這樣的話！"
Meruru	メルル	"ここまで来てくれたみんなの努力を、
みんなの思いを、無駄にはさせない――！"	Meruru	I won't let everyone's help go to waste!	梅露露	"我绝不会让大家走到这一步所付出的
努力和心意白白浪费——！"	梅露露	"我不會讓來到這裡的大家的努力、
以及大家的意念白費的──！"
	魔王	くっ！　小癪な真似を！	Demon King	Gah! You insolent little pest!	魔王	啧，自作聪明！	魔王	唔！自作聰明！
	魔王	"だが、多少の力を削がれたに過ぎぬ……！
貴様らはすでに満身創痍、この戦況を覆せはしまい！"	Demon King	I still possess most of my power! You, on the other hand, are all but spent. You have failed to turn the tide!	魔王	"但也只能消耗我力量的一点皮毛……！
你们这群遍体鳞伤的蝼蚁妄想扭转局势也没戏！"	魔王	"但我也不過是力量稍微被削弱了一些罷了……！
你們早已滿身瘡痍，無法改變戰況了！"
Resna	レスナ	くぅ……！	Resna	Ugh...!	蕾斯娜	唔……！	蕾斯娜	唔……！
???	？？？	なーにへばってるのよ、レスナ！	???	Tired already, Resna? Come on!	？？？	这就气馁了吗，蕾斯娜！	？？？	蕾斯娜，妳怎麼一副累癱的樣子啊！
Resna	レスナ	ヴァレリア！？	Resna	Valeria?!	蕾斯娜	瓦莱莉娅？！	蕾斯娜	瓦萊莉婭！？
	魔王	"ふん……虫が数匹増えたところで、
所詮は雑魚の寄せ集め。私の勝利は揺るがん！"	Demon King	Bah. What are a few more insects going to do? Your combined powers are no match for mine!	魔王	"哼……就算多几只小虫，
也还是乌合之众，我的胜利不可动摇！"	魔王	"哼……就算多了幾隻螻蟻，
也只不過是群蝦兵蟹將，我的勝利無可動搖！"
Valeria	ヴァレリア	"言ってくれるじゃない。
油断してると痛い目見るわよ"	Valeria	That is quite the bold statement. Underestimate us, and you will regret it.	瓦莱莉娅	"真敢说啊。
这么轻敌可是会吃苦头的。"	瓦萊莉婭	"你很敢說嘛。
一不留神可是會嚐到苦頭的喔。"
Valeria	ヴァレリア	"ほら、レスナ。いつまでへばってるの？
私が先に倒しちゃうわよ"	Valeria	Come now, Resna. Stand strong, or we'll end up defeating him before you.	瓦莱莉娅	"蕾斯娜，你要气馁到什么时候？
再不振作起来我就比你先打倒它了哦。"	瓦萊莉婭	"好了，蕾斯娜，妳要休息到什麼時候？
我要先打倒他了喔。"
Resna	レスナ	"ふふ……させないよ。
魔王を倒すのは、私たちなんだから……！"	Resna	Heh... I won't let that happen. I will be the one to defeat the Demon King!	蕾斯娜	"呵呵……才不会呢。
打倒魔王的，会是我们……！"	蕾斯娜	"呵呵……不會讓妳搶先的。
因為要打倒魔王的是我們啊……！"
Valeria	ヴァレリア	それでこそ、張り合いがあるってものよ！	Valeria	Now that's what I call a challenge!	瓦莱莉娅	这才有劲敌的感觉嘛！	瓦萊莉婭	就是要這樣才會有幹勁嘛！
	魔王	"どこまでも目障りな……
まとめて潰してくれるわ！！"	Demon King	Enough of this. I shall crush you all into oblivion!	魔王	"真是碍眼……
看我一并干掉你们！！"	魔王	"盡是礙眼的蟲子……
我要把你們全都一起碾死！！"
Meruru	メルル	"みんな！　今度こそ……
これが、最後の戦いだよ！"	Meruru	Everyone, this is it! This is the final battle!	梅露露	"各位！把握机会……
这是最后的战斗了！"	梅露露	"各位！這次一定要……
這是最後的戰鬥了！"
Meruru	メルル	"わたしの力で魔王に隙を作るから、
みんなは思いっきりやっちゃって！"	Meruru	I will create an opening with my powers! Use it, and throw everything you have against him!	梅露露	"我会用我的力量让魔王露出破绽，
大家就尽全力上吧！"	梅露露	"我會用力量使魔王露出破綻，
大家就盡情攻擊吧！"
Resna	レスナ	"メルル姫、
ありがとうございます！"	Resna	Thank you, Lady Meruru!	蕾斯娜	"梅露露公主，
谢谢你！"	蕾斯娜	"梅露露公主，
謝謝妳！"
Resna	レスナ	"絶対に負けない……
みんなで、勝利を掴むんだ！！"	Resna	I cannot lose... We're going to win this, together!	蕾斯娜	"我绝对不会输……
我们会一起赢得这场战役！！"	蕾斯娜	"絕對不會輸給你……
大家會一起取得勝利的！！"
