id	name	name_en	name_zh-CN	name_zh-TW	description	description_en	description_zh-CN	description_zh-TW
2009	300万DL記念 LEGEND FES[有償限定]	5M Worldwide DL Celebration - LEGEND FES [Paid Lodestar Gems Only]	全球500万次下载纪念 LEGEND FES[仅限付费星导石]	全球500萬次下載紀念 LEGEND FES[付費限定]	15回限り！10回ガチャが有償星導石×1,500！\nメダル6枚獲得！2023/11/1 12:00まで開催	10 Wishes at 1,500 Paid Lodestar Gems! \nMax 15 times! Get 6 medals!\nUntil 2024/03/08 10:59 (UTC+8).	仅限15次！许下10次星愿仅需付费星导石×1,500！且可获得6枚代币！\n活动时间截至2024/03/08 10:59（UTC+8）	僅限15次！10次星願為付費星導石×1,500！\n獲得6枚代幣！活動至2024/03/08 10:59（UTC+8）\n為止。
2010	ザールブルグの錬金術士LEGEND FES[有償限定]	The Alchemist of Salburg - LEGEND FES [Paid Lodestar Gems Only]	萨尔布鲁克的炼金术士 LEGEND FES[仅限付费星导石]	薩爾布魯克的鍊金術士LEGEND FES[付費限定]	15回限り！10回ガチャが有償星導石×1,500！\nメダル6枚獲得！2023/10/25 12:00まで開催	10 Wishes at 1,500 Paid Lodestar Gems! \nMax 15 times! Get 6 medals!\nUntil 2024/02/27 10:59 (UTC+8).	仅限15次！许下10次星愿仅需付费星导石×1,500！且可获得6枚代币！\n活动时间截至2024/02/27 10:59（UTC+8）	僅限15次！10次星願為付費星導石×1,500！\n獲得6枚代幣！活動至2024/02/27 10:59（UTC+8）\n為止。
2011	HALLOWEEN2023 LEGEND FES[有償限定]	HALLOWEEN 2024 - LEGEND FES [Paid Lodestar Gems Only]	HALLOWEEN2024 LEGEND FES[仅限付费星导石]	HALLOWEEN2024 LEGEND FES[付費限定]	15回限り！10回ガチャが有償星導石×1,500！\nメダル6枚獲得！2023/11/11 12:00まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/09/16 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/09/16 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/09/16 10:59（UTC+8）為止。
2012	メイン5章追加記念 LEGEND FES	Main Story Chapter 5 Celebration - LEGEND FES	追加主线故事第5章纪念 LEGEND FES	主線第5章追加紀念 LEGEND FES	ウィルベル・ニオが新登場＆PickUP！\n2023/11/22 12:00まで開催	Wilbell and Nio make their debut!\nFeatured until 2024/03/16 10:59 (UTC+8).	薇尔贝儿、妮欧全新登场&PickUP！\n活动时间截至2024/03/16 10:59（UTC+8）	薇爾貝兒、妮歐新登場&PickUP！\n活動至2024/03/16 10:59（UTC+8）為止。
2013	メイン5章追加記念 LEGEND FES[有償限定]	Main Story Chapter 5 Celebration - LEGEND FES [Paid Lodestar Gems Only]	追加主线故事第5章纪念 LEGEND FES[仅限付费星导石]	主線第5章追加紀念 LEGEND FES[付費限定]	15回限り！10回ガチャが有償星導石×1,500！\nメダル6枚獲得！2023/11/22 12:00まで開催	10 Wishes for 1,500 Paid Lodestar Gems! Max 15 times! Get 6 medals! \nUntil 2024/03/16 10:59 (UTC+8).	仅限15次！许下10次星愿仅需付费星导石×1,500！且可获得6枚代币！\n活动时间截至2024/03/16 10:59（UTC+8）	僅限15次！10次星願為付費星導石×1,500！ 獲得6枚代幣！活動至2024/03/16 10:59（UTC+8）為止。
2014	リディー＆スールのアトリエ LEGEND FES	Atelier Lydie & Suelle - LEGEND FES	莉迪＆苏瑞的炼金工房 LEGEND FES	莉迪＆蘇瑞的鍊金工房 LEGEND FES	リディー・スールが新登場＆PickUP！\n2023/12/01 12:00まで開催	Lydie and Suelle make their debut!\nFeatured until 2024/03/26 10:59 (UTC+8).	莉迪、苏瑞全新登场&PickUP！\n活动时间截至2024/03/26 10:59（UTC+8）	莉迪、蘇瑞新登場&PickUP！\n活動至2024/03/26 10:59（UTC+8）為止。
2015	リディー＆スールのアトリエ LEGEND FES[有償限定]	Atelier Lydie & Suelle - LEGEND FES [Paid Lodestar Gems Only]	莉迪＆苏瑞的炼金工房 LEGEND FES[仅限付费星导石]	莉迪＆蘇瑞的鍊金工房 LEGEND FES[付費限定]	15回限り！10回ガチャが有償星導石×1,500！\nメダル6枚獲得！2023/12/01 12:00まで開催	10 Wishes for 1,500 Paid Lodestar Gems! Max 15 times! Get 6 medals! \nUntil 2024/03/26 10:59 (UTC+8).	仅限15次！许下10次星愿仅需付费星导石×1,500！且可获得6枚代币！\n活动时间截至2024/03/26 10:59（UTC+8）	僅限15次！10次星願為付費星導石×1,500！ 獲得6枚代幣！活動至2024/03/26 10:59（UTC+8）為止。
2016	ライザのアトリエ LEGEND FES	Atelier Ryza - LEGEND FES	莱莎的炼金工房 LEGEND FES	萊莎的鍊金工房 LEGEND FES	ライザ・アンペルが新登場＆PickUP！\n2024/01/02 11:59まで開催	Ryza and Empel make their debut!\nFeatured until 2024/04/26 10:59 (UTC+8).	莱莎、安佩尔全新登场&PickUP！活动时间截至2024/04/26 10:59（UTC+8）	萊莎、安佩爾新登場&PickUP！\n活動至2024/04/26 10:59（UTC+8）為止。
2017	ライザのアトリエ LEGEND FES[有償限定]	Atelier Ryza - LEGEND FES [Paid Lodestar Gems Only]	莱莎的炼金工房 LEGEND FES[仅限付费星导石]	萊莎的鍊金工房 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/01/02 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/04/26 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/04/26 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/04/26 10:59（UTC+8）為止。
2018	ATELIER FES	ATELIER FES	ATELIER FES	ATELIER FES	個性豊かなアトリエキャラが多数登場！\nピックアップなしのATELIER FES開催！	The ATELIER FES has no specific featured characters! Get your hands on characters from across the diverse Atelier series!	多名性格各异的炼金工房角色登场！无Pick Up的ATELIER FES开始举办！	多位個性豐富的鍊金工房角色登場！\n無精選的ATELIER FES活動開放！
2019	イザナ新章追加記念 LEGEND FES	New Izana Chapter Celebration - LEGEND FES	伊札娜新章节追加纪念 LEGEND FES	伊札娜新章節追加紀念 LEGEND FES	イザナ・リラが新登場＆PickUP！\n2024/01/02 11:59まで開催	Izana and Lila make their debut!\nFeatured until 2024/04/26 10:59 (UTC+8).	伊札娜、莉拉全新登场&PickUP！活动时间截至2024/04/26 10:59（UTC+8）	伊札娜、莉拉新登場&PickUP！\n活動至2024/04/26 10:59（UTC+8）為止。
2020	イザナ新章追加記念 LEGEND FES[有償限定]	New Izana Chapter Celebration - LEGEND FES [Paid Lodestar Gems Only]	伊札娜新章节追加纪念 LEGEND FES[仅限付费星导石]	伊札娜新章節追加紀念 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/01/02 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/04/26 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/04/26 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/04/26 10:59（UTC+8）為止。
2021	クリスマス LEGEND FES	Christmas - LEGEND FES	圣诞节 LEGEND FES	聖誕節 LEGEND FES	レスナ・パトリツィアが新登場＆PickUP！\n2024/01/02 11:59まで開催	Resna and Patricia make their debut!\nFeatured until 2024/04/26 10:59 (UTC+8).	蕾斯娜、帕特莉夏全新登场&PickUP！活动时间截至2024/04/26 10:59（UTC+8）	蕾斯娜、派翠夏新登場&PickUP！\n活動至2024/04/26 10:59（UTC+8）為止。
2022	クリスマス LEGEND FES[有償限定]	Christmas - LEGEND FES [Paid Lodestar Gems Only]	圣诞节 LEGEND FES[仅限付费星导石]	聖誕節 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/01/02 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/04/26 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/04/26 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/04/26 10:59（UTC+8）為止。
2023	HAPPY NEW YEAR LEGEND FES	HAPPY NEW YEAR - LEGEND FES	新年快乐 LEGEND FES	新年快樂 LEGEND FES	晴れ着姿のマリーが新登場＆PickUP！\n2024/01/16 11:59まで開催	A new version of Marie wearing a kimono!\nFeatured until 2024/05/09 10:59 (UTC+8).	盛装打扮的玛莉全新登场&Pick Up！\n举办时间截至2024/05/09 10:59（UTC+8）	盛裝瑪莉新登場&PickUP！\n活動至2024/05/09 10:59（UTC+8）為止。
2024	HAPPY NEW YEAR LEGEND FES[有償限定]	HAPPY NEW YEAR - LEGEND FES [Paid Lodestar Gems Only]	新年快乐 LEGEND FES[仅限付费星导石]	新年快樂 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/01/16 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/05/09 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/05/09 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/05/09 10:59（UTC+8）為止。
2025	新章記念 浪漫の果てに LEGEND FES	New Chapter: At the Edge of Romance - LEGEND FES	新章节纪念 在浪漫的尽头 LEGEND FES	新章節紀念 在浪漫的盡頭 LEGEND FES	ロマンとアーシャが新登場＆PickUP！\n2024/01/23 11:59まで開催	Roman and Ayesha make their debut!\nFeatured until 2024/05/16 10:59 (UTC+8).	罗曼、爱夏全新登场&PickUP！活动时间截至2024/05/16 10:59（UTC+8）	羅曼、愛夏新登場&PickUP！\n活動至2024/05/16 10:59（UTC+8）為止。
2026	新章記念 浪漫の果てに LEGEND FES[有償限定]	New Chapter: At the Edge of Romance - LEGEND FES [Paid Lodestar Gems Only]	新章节纪念 在浪漫的尽头 LEGEND FES[仅限付费星导石]	新章節紀念 在浪漫的盡頭 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/01/23 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/05/16 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/05/16 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/05/16 10:59（UTC+8）為止。
2027	復刻ヴァレリア新章追加記念 LEGEND FES	New Valeria Chapters Celebration Repeat - LEGEND FES	复刻瓦莱莉娅新章节追加纪念 LEGEND FES	復刻瓦萊莉婭新章節追加紀念 LEGEND FES	ヴァレリア・クラウディアが再登場＆PickUP！\n2024/01/16 11:59まで開催	Valeria and Klaudia return!\nFeatured until 2024/05/10 10:59 (UTC+8).	瓦莱莉娅、科洛蒂娅再度登场！&Pick Up！\n举办时间截至2024/05/10 10:59（UTC+8）	瓦萊莉婭、科洛蒂婭再次登場＆PickUP！\n活動至2024/05/10 10:59（UTC+8）為止。
2028	復刻ヴァレリア新章追加記念 LEGEND FES[有償限定]	New Valeria Chapters Celebration Repeat - LEGEND FES [Paid Lodestar Gems Only]	复刻瓦莱莉娅新章节追加纪念 LEGEND FES[仅限付费星导石]	復刻瓦萊莉婭新章節追加紀念 LEGEND FES[付費限定]	15回限り！10回ガチャが有償星導石×1,500！\nメダル6枚獲得！2024/01/16 11:59まで開催	10 Wishes for 1,500 Paid Lodestar Gems! Max 15 times! Get 6 medals! Until 2024/05/10 10:59 (UTC+8).	仅限15次！许下10次星愿仅需付费星导石×1,500！且可获得6枚代币！活动时间截至2024/05/10 10:59（UTC+8）	僅限15次！10次星願為付費星導石×1,500！ 獲得6枚代幣！活動至2024/05/10 10:59（UTC+8）為止。
2029	シャリーのアトリエ LEGEND FES	Atelier Shallie - LEGEND FES	夏莉的炼金工房 LEGEND FES	夏莉的鍊金工房 LEGEND FES	シャリステラとシャルロッテが新登場＆PickUP！\n2024/02/01 11:59まで開催	Shallistera and Shallotte make their debut!\nFeatured until 2024/05/25 10:59 (UTC+8).	夏莉丝堤拉、夏露罗蒂全新登场&PickUP！活动时间截至2024/05/25 10:59（UTC+8）	夏莉絲堤菈、夏露羅蒂新登場&PickUP！\n活動至2024/05/25 10:59（UTC+8）為止。
2030	シャリーのアトリエ LEGEND FES[有償限定]	Atelier Shallie - LEGEND FES [Paid Lodestar Gems Only]	夏莉的炼金工房 LEGEND FES[仅限付费星导石]	夏莉的鍊金工房 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/02/01 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/05/25 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/05/25 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/05/25 10:59（UTC+8）為止。
2031	新章記念 双璧の騎士 LEGEND FES	New Chapter: Paragon Knights - LEGEND FES	新章节纪念 双璧骑士 LEGEND FES	新章節紀念 雙璧之騎士 LEGEND FES	ユナと騎士衣装のロジーが新登場＆PickUP！\n2024/02/14 11:59まで開催	Juna and Logy in a knight's outfit make their debut!\nFeatured until 2024/06/03 10:59 (UTC+8).	尤娜与骑士服装罗吉全新登场&Pick Up！\n举办时间截至2024/06/03 10:59（UTC+8）	尤娜和騎士裝束的羅吉新登場&PickUP！\n活動至2024/06/03 10:59（UTC+8）為止。
2032	新章記念 双璧の騎士 LEGEND FES[有償限定]	New Chapter: Paragon Knights - LEGEND FES [Paid Lodestar Gems Only]	新章节纪念 双璧骑士 LEGEND FES[仅限付费星导石]	新章節紀念 雙璧之騎士 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/02/14 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/06/03 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/06/03 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/06/03 10:59（UTC+8）為止。
2033	VALENTINE2024 LEGEND FES	VALENTINE 2024 - LEGEND FES	VALENTINE 2024 LEGEND FES	VALENTINE 2024 LEGEND FES	メイド衣装のエスカが新登場＆PickUP！\n2024/02/21 11:59まで開催	Escha in a maid outfit makes her debut!\nFeatured until 2024/06/07 10:59 (UTC+8).	女仆装爱丝卡全新登场&Pick Up！\n活动时间截至2024/06/07 10:59（UTC+8）	女僕造型愛絲卡新登場& PickUP！\n活動至2024/06/07 10:59（UTC+8）為止。
2034	VALENTINE2024 LEGEND FES[有償限定]	VALENTINE 2024 - LEGEND FES [Paid Lodestar Gems Only]	VALENTINE 2024 LEGEND FES[仅限付费星导石]	VALENTINE 2024 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/02/21 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/06/07 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/06/07 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/06/07 10:59（UTC+8）為止。
2035	復刻リリース記念第2弾 LEGEND FES	Release Celebration Part 2 Repeat - LEGEND FES	发行纪念复刻第2弹 LEGEND FES	復刻發行紀念第2彈 LEGEND FES	PickUpキャラ再登場！ ※前回と提供割合が異なります\n2024/02/14 11:59まで開催	The same characters from before return! Note: Drop chances differ from the original event.\nFeatured until 2024/mm/dd 10:59 (UTC+8).	Pick Up角色再次登场！ ※与上一次的出现概率不同\n举办时间截至2024/mm/dd 10:59（UTC+8）	精選角色再次登場！※出現機率與上期相異。\n活動至2024/mm/dd 10:59（UTC+8）為止。
2036	復刻リリース記念第2弾 LEGEND FES[有償限定]	Release Celebration Part 2 Repeat - LEGEND FES [Paid Lodestar Gems Only]	发行纪念复刻第2弹 LEGEND FES[仅限付费星导石]	復刻發行紀念第2彈 LEGEND FES[付費限定]	PickUpキャラ再登場！ ※前回と提供割合が異なります\nメダル6枚獲得! 2024/02/14 11:59まで開催	The same characters from before return! Note: Drop chances differ from the original event.\nGet 6 medals! Featured until 2024/mm/dd 10:59 (UTC+8).	Pick Up角色再次登场！ ※与上一次的出现概率不同\n可获得6枚代币！举办时间截至2024/mm/dd 10:59（UTC+8）	精選角色再次登場！※出現機率與上期相異。\n獲得6枚代幣！活動至2024/mm/dd 10:59（UTC+8）為止。
2037	復刻HALLOWEEN2023 LEGEND FES				ハロウィン衣装のプラフタが再登場＆PickUP！\n2024/03/01 11:59まで開催			
2038	復刻HALLOWEEN2023 LEGEND FES[有償限定]				15回限り！10回ガチャが有償星導石×1,500！\nメダル6枚獲得！2024/03/01 11:59まで開催			
2039	アーランドの錬金術士 LEGEND FES	The Alchemist of Arland - LEGEND FES	亚兰德之炼金术士 LEGEND FES	亞蘭德之鍊金術士 LEGEND FES	トトリとロロナが新登場＆PickUP！\n2024/03/01 11:59まで開催	Totori and Rorona make their debut!\nFeatured until 2024/06/13 10:59 (UTC+8).	托托莉、萝乐娜全新登场&Pick Up！\n活动时间截至2024/06/13 10:59（UTC+8）	托托莉、蘿樂娜新登場&PickUP！\n活動至2024/06/13 10:59（UTC+8）為止。
2040	アーランドの錬金術士 LEGEND FES[有償限定]	The Alchemist of Arland - LEGEND FES [Paid Lodestar Gems Only]	亚兰德之炼金术士 LEGEND FES[仅限付费星导石]	亞蘭德之鍊金術士 LEGEND FES[付費限定]	5周限り！有償星導石でガチャを20回引くと\n10回無料！2024/03/01 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 5 times!\nUntil 2024/06/13 10:59 (UTC+8).	仅限5轮！使用付费星导石许下20次星愿后，即可免费许下10次星愿！举办时间截至2024/06/13 10:59（UTC+8）	僅限5週！使用付費星導石抽星願20次\n即可獲得10次免費！活動至2024/06/13 10:59（UTC+8）為止。
2041	復刻300万DL記念 LEGEND FES	5M Worldwide DL Celebration Repeat - LEGEND FES	复刻全球500万次下载纪念 LEGEND FES	復刻全球500萬次下載紀念 LEGEND FES	ドレス衣装のメルルが再登場＆PickUP！\n2024/02/21 11:59まで開催	Meruru (Dress Ver.) returns!\nFeatured until 2024/06/07 10:59 (UTC+8).	礼服裙梅露露再度登场&Pick Up！\n活动时间截至2024/06/07 10:59（UTC+8）	禮服造型的梅露露再次登場＆PickUP！\n活動至2024/06/07 10:59（UTC+8）為止。
2042	復刻300万DL記念 LEGEND FES[有償限定]	5M Worldwide DL Celebration Repeat - LEGEND FES [Paid Lodestar Gems Only]	复刻全球500万次下载纪念 LEGEND FES[仅限付费星导石]	復刻全球500萬次下載紀念 LEGEND FES[付費限定]	15回限り！10回ガチャが有償星導石×1,500！\nメダル6枚獲得！2024/02/21 11:59まで開催	10 Wishes for 1,500 Paid Lodestar Gems! Max 15 times! Get 6 medals! \nUntil 2024/06/14 10:59 (UTC+8).	仅限15次！许下10次星愿仅需付费星导石×1,500！且可获得6枚代币！\n活动时间截至2024/06/14 10:59（UTC+8）	僅限15次！10次星願為付費星導石×1,500！ 獲得6枚代幣！活動至2024/06/14 10:59（UTC+8）為止。
2043	★3キャラ選んで確定ガチャ	Select a Guaranteed ★3 Character Wish	必定获得所选★3角色星愿	確定出現★3選擇角色星願	STEP2とSTEP5は1回無料\n選択した★3キャラが確定！	1 Free Pull at Step 2 and Step 5!\nGuarantees you receive your selected ★3 Character!	STEP2和STEP5为1次免费星愿\n必定获得所选★3角色！	STEP2與STEP5免費1次。\n確定出現選擇的★3角色！
2044	決戦 LEGEND FES 目覚めた災厄	Final Battle - LEGEND FES The Awakened Calamity	决战 LEGEND FES 苏醒的灾厄	決戰 LEGEND FES 覺醒的災厄	決戦装備のヴァレリア・リディーが新登場＆PickUP！\n2024/04/03 11:59まで開催	Valeria and Lydie make their debut in their final battle outfits!\nFeatured until 2024/07/18 10:59 (UTC+8).	决战装备瓦莱莉娅、莉迪全新登场&Pick Up！\n举办时间截至2024/07/18 10:59（UTC+8）	決戰裝備瓦萊莉婭、莉迪新登場＆PickUP！\n活動至2024/07/18 10:59（UTC+8）為止。
2045	決戦 LEGEND FES 目覚めた災厄[有償限定]	Final Battle - LEGEND FES The Awakened Calamity [Paid Lodestar Gems Only]	决战 LEGEND FES 苏醒的灾厄[仅限付费星导石]	決戰 LEGEND FES 覺醒的災厄[付費限定]	10周限り！有償星導石でガチャを20回引くと\n10回無料！2024/04/03 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 10 times! \nUntil 2024/07/18 10:59 (UTC+8).	仅限10轮！使用付费星导石许下20次星愿后，\n即可免费许下10次星愿！举办时间截至2024/07/18 10:59（UTC+8）	僅限10週！使用付費星導石抽星願20次，\n即可獲得10次免費！活動至2024/07/18 10:59（UTC+8）為止。
2046	決戦 LEGEND FES それぞれの覚悟	Final Battle - LEGEND FES Everyone's Resolve	决战 LEGEND FES 各自的决心	決戰 LEGEND FES 各自的決心	決戦装備のハイディ・フィリスが新登場＆PickUP！\n2024/03/23 11:59まで開催	Heidi and Firis make their debut in their final battle outfits!\nFeatured until 2024/07/06 10:59 (UTC+8).	决战装备海蒂、菲利丝全新登场&Pick Up！\n举办时间截至2024/07/06 10:59（UTC+8）	決戰裝備海蒂、菲莉絲新登場＆PickUP！\n活動至2024/07/06 10:59（UTC+8）為止。
2047	決戦 LEGEND FES それぞれの覚悟[有償限定]	Final Battle - LEGEND FES Everyone's Resolve [Paid Lodestar Gems Only]	决战 LEGEND FES 各自的决心[仅限付费星导石]	決戰 LEGEND FES 各自的決心[付費限定]	10周限り！有償星導石でガチャを20回引くと\n10回無料！2024/03/23 11:59まで開催	For every 20 Wishes with Paid Lodestar Gems, get 10 Wishes for free! Max 10 times! \nUntil 2024/07/06 10:59 (UTC+8).	仅限10轮！使用付费星导石许下20次星愿后，\n即可免费许下10次星愿！举办时间截至2024/07/06 10:59（UTC+8）	僅限10週！使用付費星導石抽星願20次，\n即可獲得10次免費！活動至2024/07/06 10:59（UTC+8）為止。
