id	name	name_en	name_zh-CN	name_zh-TW
72	探究者の遺跡（夜）	Seeker's Ruins (Night)	探究者遗迹（夜晚）	探究者的遺跡（夜晚）
73	黄金色の平原（昼）			
74	黄金色の平原（夜）			
75	密やかな林道（昼）			
76	密やかな林道（夜）			
77	閉ざさずの門			
78	カフェ-星の繭（リンデ祭）			
79	ノルト大森林（昼）			
80	ノルト大森林（夜）			
81	フリーゲン-高台（昼）			
82	フリーゲン-高台（夜）			
83	試練の雪原（昼）			
84	試練の雪原（夜）			
85	試練の雪原（昼・雪）			
86	試練の雪原（夜・雪）			
87	蒼西洋（昼）			
88	蒼西洋（夜）			
89	大海のしじま（昼）			
90	大海のしじま（夜）			
91	アルビーナのアトリエ（昼）			
92	アルビーナのアトリエ（夜）			
