id	name	name_en	name_zh-CN	name_zh-TW
62	魔獣の革鎧	Beast Armor	魔兽皮甲	魔獸皮甲
63	エンゼルリボン	Angel Ribbon	天使缎带	天使緞帶
64	黄金エキススープ	Golden Extract Soup	黄金精华汤	黃金精華湯
65	エリキシル剤	Elixir	万灵药剂	萬靈藥劑
66	創世の槌	Genesis Hammer	创世之槌	創世之槌
67	リュミエールランス	Luminous Lance	光之枪	光之槍
68	レーツェルフト	Ratsel Luft	龙卷结晶	神秘之息
69	クライトレヘルン	Kleid Ice Bomb	礼服冰精	禮服冰精
70	シュトラプラジグ	Strahl Plajig	漫舞雷球	漫舞雷球
71	クロニクルマーク・斬	Chronicle Mark - Slash	时光标记·斩	圖騰項鍊‧斬
72	クロニクルマーク・打	Chronicle Mark - Strike	时光标记·打	圖騰項鍊‧打
73	クロニクルマーク・突	Chronicle Mark - Stab	时光标记·突	圖騰項鍊‧突
74	火霊のリング	Fire Spirit Ring	火灵戒指	火靈戒指
75	暴風のリング	Gale Force Ring	暴风戒指	暴風戒指
76	氷幻のリング	Phantom Ice Ring	冰幻戒指	冰幻戒指
77	雷帝のリング	King of Thunder Ring	雷帝戒指	雷帝戒指
78	守護者の大剣	Protector Sword	守护者大剑	守護者大劍
79	おしゃれなほうき	Stylish Broom	时髦扫把	時髦掃把
80	肉体活性の粉末	Body Energy Powder	活化肉体粉末	活化肉體粉末
81	剛力の塗り薬	Powerful Ointment	强力敷药	強力敷藥
82	トリトンのほら貝	Triton's Trumpet	特里同的法螺	特里同的法螺貝
83	スカラーコート	Skuller Coat	学者御用服	學者御用服
84	レディアントプレート	Radiant Plate	光辉板甲	光輝板甲
85	風繰り車	Pinwheel	驭风风车	馭風風車
86	シュネーシュトルム	Schnee Sturm	冰雪风暴	冰雪風暴
87	薬草のシャツ	Herbal Shirt	药草衬衫	藥草襯衫
88	雷の呼び鈴	Lightning Bell	呼雷铃	呼雷鈴
89	レッドウォーパウダー	Red War Powder	怒血金创粉	怒血金創粉
90	リストレア薬瓶	Restoration Bottle	里斯托莱阿药瓶	復癒藥瓶
91	プレートベスト	Plate Vest	铁甲背心	板甲背心
92	クリングメーネ	Klinge Mähne	历神之剑	曆神之劍
93	ヤマネコの槍	Madcat Spear	山猫长枪	山貓之槍
94	かぼちゃドール	Pumpkin Doll	南瓜娃娃	南瓜娃娃
95	フォーチュンライト	Fortune's Light	幸运之光	幸運之光
96	陽だまりの杖	Sunburst Staff	日照之杖	日照之杖
97	修練の道標	Training Path	修炼道标	修煉道標
98	エレメントブレス・火	Elemental Breath - Fire	元素吐息·火	元素吐息‧火
99	エレメントブレス・氷	Elemental Breath - Ice	元素吐息·冰	元素吐息‧冰
100	エレメントブレス・雷	Elemental Breath - Bolt	元素吐息·雷	元素吐息‧雷
101	コロッサルエッジ	Colossal Edge	无双	巨型劍鋒
102	白翼の槍	White Wing Spear	白翼长枪	白翼之槍
103	イバラの抱擁	Thorny Embrace	苦难的拥抱	荊棘的擁抱
104	ワンダーミステル・火	Mystical Wonder - Fire	惊奇手杖·火	驚奇手杖‧火
105	ワンダーミステル・風	Mystical Wonder - Air	惊奇手杖·风	驚奇手杖‧風
106	氷びし	Ice Caltrop	冰菱	冰稜
107	ワンダーミステル・氷	Mystical Wonder - Ice	惊奇手杖·冰	驚奇手杖‧冰
108	ワンダーミステル・雷	Mystical Wonder - Bolt	惊奇手杖·雷	驚奇手杖‧雷
109	ブリッツコア	Blitz Core	凝缩核	凝縮核
110	生きてるゴミ箱	Living Trash Can	活着的垃圾桶	活著的垃圾桶
111	銀糸の鎧	Silver Thread Armor	银线铠甲	銀絲之鎧
112	ファーデンコート	Yarn Coat	发晶外套	髮晶外套
113	ゴールドジャケット	Gold Jacket	黄金夹克	黃金夾克
114	金刺繍のコート	Gold Embroidered Coat	金线刺绣大衣	金線刺繡大衣
115	シャレードルマント	Charade Lumont	侦探外褂	偵探外褂
116	ヒロイックガイスト	Heroic Geist	英雄精神	英雄知性
117	万物の写本	Codex of Creation	万物抄本	萬物手抄本
118	精霊のローブ	Spirit Robe	精灵的外袍	精靈的外袍
119	旅の羽衣	Journey Raiment	旅行羽衣	旅行羽衣
120	妖精の羽衣・火	Fairy Cloak - Fire	妖精羽衣·火	妖精羽衣‧火
121	妖精の羽衣・風	Fairy Cloak - Air	妖精羽衣·风	妖精羽衣‧風
122	妖精の羽衣・氷	Fairy Cloak - Ice	妖精羽衣·冰	妖精羽衣‧冰
123	妖薬エボニアル	Miracle Ebonyal	黑檀妖药	黑檀妖藥
124	廻る魔剣	Revolving Magic Sword	回旋魔剑	迴旋魔劍
125	トランヒールサルヴ	Tranquil Salve	鱼油治愈软膏	特效療癒軟膏
126	ドナークリスタル	Lightning Crystal	电导水晶	電導水晶
127	破壊の秘薬	Potion of Destruction	破坏秘药	破壞的秘藥
128	波打つ刺剣	Rippling Rapier	浪刃刺剑	波打刺劍
129	クレプスクルン	Crepusculum	黄昏微光	黃昏微光
130	神速のブーツ	Godspeed Boots	神速之靴	神速之靴
131	ミシカルリング	Mythical Ring	神话戒指	神話戒指
132	ベルベットレイヤード・斬	Layered Velvet - Slash	多层丝绒装·斩	多層絲絨裝‧斬
133	雷鳴の鎧	Thunder Armor	雷鸣之铠	雷鳴之鎧
134	氷霧の鎧	Frost Armor	冰雾之铠	冰霧之鎧
135	ベルベットレイヤード・打	Layered Velvet - Strike	多层丝绒装·打	多層絲絨裝‧打
136	鋼鉄弓	Steel Bow	钢铁弓	鋼鐵弓
137	フローリッシュハート	Flourish Heart	华丽之心	華麗之心
138	炎熱の鎧	Fire Armor	炎热之铠	炎熱之鎧
139	風凪の鎧	Air Armor	息风之铠	風止之鎧
140	ベルベットレイヤード・突	Layered Velvet - Stab	多层丝绒装·突	多層絲絨裝‧突
141	白熱はちまき	White-Hot Headband	白热头巾	灼熱頭巾
142	グローリーベルト	Glory Belt	荣耀腰带	榮耀腰帶
143	鋼の杖	Steel Staff	钢之杖	鋼手杖
144	ミーミルの杖	Mimir's Staff	密米尔之杖	密米爾之杖
145	鋼の鎧	Steel Armor	钢之铠	鋼之鎧
146	輝く絹の服	Silky Outfit	闪耀丝绢服	閃耀絲絹服
147	パルフューム	Perfume	芬芳之链	誘香項鍊
148	安らぎのマフラー	Serenity Scarf	宁神围巾	寧神圍巾
149	プリンセスステッキ	Princess Wand	公主之杖	公主手杖
150	勇者の剣	Hero's Sword	勇者之剑	勇者之劍
151	プリンセスドレス	Princess Dress	公主裙	公主禮服
152	勇者の鎧	Hero's Armor	勇者之铠	勇者之鎧
153	プリンセスティアラ	Princess Tiara	公主皇冠	公主皇冠
154	勇者のお守り	Hero's Charm	勇者的护身符	勇者的護身符
155	魔女の剣	Witch's Sword	魔女之剑	魔女之劍
156	吸血鬼の杖	Vampire's Staff	吸血鬼之杖	吸血鬼之杖
157	魔女の服	Witch's Outfit	魔女之服	魔女服
158	吸血鬼のマント	Vampire's Cloak	吸血鬼披风	吸血鬼披風
159	魔女のお面	Witch's Mask	魔女面具	魔女面具
160	吸血鬼のブローチ	Vampire's Brooch	吸血鬼胸针	吸血鬼胸針
161	プロテクトパウダー	Protection Powder	保护粉	防禦粉
162	まじないほうき	Enchanted Broom	咒文扫帚	咒文掃帚
163	メタルターナー	Metal Stirrer	金属锅铲	金屬鍋鏟
164	羽根飾り	Feather Pin	羽毛饰品	羽毛飾品
165	神秘のタリスマン	Mystic Talisman	神秘护符	神秘護符
166	シュタルレヘルン	Stahl Ice Bomb	坚硬冰精	冷冽冰精
167	さすらい人の服	Wanderer's Clothes	流浪者之服	漂泊者服
168	薬草のポンチョ	Herbal Poncho	药草斗篷	藥草斗篷
169	オーレスケイル	Ore Scale Armor	矿石鳞甲	礦石鱗甲
170	デイフーガ	Daylight	白日朝晖	白日朝暉
171	カクテルレープ	Cocktail Leb	鸡尾酒点心	雞尾酒點心
172	ラーヴァキューブ	Lava Cube	熔岩方块	熔岩方塊
173	コールドハンマー	Cold Hammer	冰冷锤子	冰寒之錘
174	ラギーソード	Rugged Sword	不工之剑	不工之劍
175	詰め合わせキャンディ	Assorted Candy	混装糖果	綜合糖果
176	スケイルアーマー	Scale Armor	鳞片铠甲	鱗片鎧甲
177	ナチュラルコート	Natural Coat	自然大衣	自然大衣
178	ダークレザー	Dark Leather Armor	暗黑皮铠	暗黑皮鎧
179	オルフィックリング・氷	Orphic Ring: Ice	神秘戒指·冰	魔性戒指‧冰
180	オルフィックリング・雷	Orphic Ring: Bolt	神秘戒指·雷	魔性戒指‧雷
181	ビギナースタッフ	Beginner's Staff	新手魔杖	初學者之杖
182	ブラッディクロー	Bloody Claw	血腥双爪	血腥雙爪
183	幻月の服	Paraselene Clothes	幻月之服	幻月服裝
184	ハードローブ	Hard Robe	坚硬长袍	硬質外袍
185	ナックルガード	Knuckle Guard	手指虎拳套	護指圈
186	アンジュパリュール	Ange Parure	天使宝石套装	天使珠寶飾品組
187	さすらう地球儀	Wandering Globe	漂泊地球仪	流浪地球儀
188	ヘリオプロクス	Helioprox	赤炎弦月杖	赤炎弦月杖
189	森番鐘	Forest Bell	万物钟	萬物鐘
190	ソルジャーキュイラス	Soldier's Cuirass	士兵铁甲	士兵鐵甲
191	ゴールデンメイル	Golden Mail	黄金之铠	黃金之鎧
192	魔石のチェイン	Fairystone Chain	魔石手链	魔石的鎖鏈
193	バロンズクラウン	Baron's Crown	男爵冠	男爵冠
194	頼れる錬金術士の杖	Reliable Alchemist's Staff	可靠的炼金术士之杖	可靠的鍊金術士之杖
195	グラスビーンズ	Grass Beans	草豆	草豆
196	クーケンスウェット	Kurken Sweats	库肯布衣	庫肯布衣
197	退魔のブローチ	Exorcism Brooch	退魔胸针	退魔胸針
198	栄養剤	Tonic	营养剂	營養劑
199	トネルアッシュ	Tonnelash	雷斧	雷斧
200	グランドプレート	Grand Plate	大地板甲	大地胸鎧
201	バイタルペンダント	Vital Pendant	活力坠饰	生命墜飾
202	禁じられた秘薬	Forbidden Elixir	禁忌秘药	禁忌秘藥
203	クリーガーズタロン	Krieger's Talon	流金爪	流金爪
204	ライトベスト	Light Vest	轻便背心	光之背心
205	ヒートアップバングル	Heated Bangle	发热手镯	發熱手鐲
206	神剃丸	Divinity's Edge	神剃丸	神剃丸
207	アーツサマリー	Summary of Arts	艺术概论	藝術概論
208	リフュールボトル	Healing Elixir	补给瓶	補給瓶
209	放電管	Electrical Discharge Tube	放电管	放電管
210	真紅の皮鎧	Crimson Leather Armor	深红皮甲	深紅皮鎧
211	疾走シャツ	Dart Shirt	疾跑衬衫	疾走襯衫
212	守護女神の盾	Goddess Shield	守护女神之盾	守護女神之盾
213	エレメントガード	Element Guard	元素盾	元素盾
214	ファンシーリング	Fancy Ring	奇想戒指	幻想戒指
215	ビビットマフラー	Vivid Scarf	鲜艳围巾	豔色圍巾
216	オルフィックリング・火	Orphic Ring: Fire	神秘戒指·火	魔性戒指‧火
217	オルフィックリング・風	Orphic Ring: Air	神秘戒指·风	魔性戒指‧風
218	解の魔導書・火	Tome of Answers: Fire	解之魔导书·火	解之魔導書‧火
219	解の魔導書・氷	Tome of Answers: Ice	解之魔导书·冰	解之魔導書‧冰
220	解の魔導書・雷	Tome of Answers: Bolt	解之魔导书·雷	解之魔導書‧雷
221	解の魔導書・風	Tome of Answers: Air	解之魔导书·风	解之魔導書‧風
222	アブシュナイデン	Abschneiden	截断之剑	截斷之劍
223	ザシュテーレン	Zerstören	破坏之锤	破壞之錘
224	ドヒドリンゲン	Durchdringen	刺穿之枪	刺穿之槍
225	ロイヤルティローブ	Royalty Robe	皇家法袍	忠誠外袍
226	チャスティティローブ	Purity Robe	忠贞法袍	貞潔外袍
227	トレランスローブ	Tolerance Robe	宽恕法袍	寬容外袍
228	デリジェンスローブ	Diligence Robe	勤奋法袍	勤勉外袍
229	センシブルローブ	Sensible Robe	理智法袍	明智外袍
230	テンペランスローブ	Temperance Robe	节制法袍	節制外袍
231	メルシーローブ	Mercy Robe	感谢法袍	感謝外袍
232	伝承のエリキシル剤	Ancestral Elixir	传承万灵药剂	傳承的萬靈藥劑
233	伝承の教典	Ancestral Doctrine	传承教典	傳承的教典
234	伝承の呪術書	Ancestral Spellbook	传承咒术书	傳承的咒術書
235	プライドリング	Pride Ring	傲慢戒指	傲慢戒指
236	エンヴィーリング	Envy Ring	嫉妒戒指	嫉妒戒指
237	スロースリング	Sloth Ring	懒惰戒指	怠惰戒指
238	ウォラスリング	Wrath Ring	暴怒戒指	憤怒戒指
239	グリードリング	Greed Ring	贪婪戒指	貪婪戒指
240	グラトニーリング	Gluttony Ring	暴食戒指	暴食戒指
241	ラストリング	Lust Ring	色欲戒指	色慾戒指
242	天恵の杖	Blessed Staff	天佑之杖	天惠之杖
243	冥護の杖	Shadowguard Staff	冥护之杖	冥護之杖
244	神助の杖	Divine Aid Staff	神助之杖	神助之杖
245	聖寵の杖	Holy Favor Staff	圣宠之杖	聖寵之杖
246	エルドへヴァイス	Edelweiss	白色大地	埃德海瓦斯之劍
247	シュターカヴィレ	Starker Wille	坚强意志	強志之戟
248	エーヴィヒエーレ	Ewig Ehre	永恒荣光	永譽之弓
249	幻重鎧グランツ	Phantom Armor Glanz	梦幻重甲辉耀	幻重鎧光輝
250	幻重鎧ラヴィーネ	Phantom Armor Lawine	梦幻重甲雪崩	幻重鎧雪崩
251	幻重鎧シュバルツ	Phantom Armor Schwarz	梦幻重甲漆黑	幻重鎧漆黑
252	幻重鎧エルフォルク	Phantom Armor Erfolg	梦幻重甲成功	幻重鎧成功
253	幻重鎧フライハイト	Phantom Armor Freiheit	梦幻重甲自由	幻重鎧自由
254	幻重鎧フリーデン	Phantom Armor Frieden	梦幻重甲安宁	幻重鎧和平
255	幻重鎧トロイメライ	Phantom Armor Träumerei	梦幻重甲幻想	幻重鎧夢幻
256	オリジンネックレス・火	Origin Necklace: Fire	原始项链·火	起源項鍊‧火
257	オリジンネックレス・氷	Origin Necklace: Ice	原始项链·冰	起源項鍊‧冰
258	オリジンネックレス・雷	Origin Necklace: Bolt	原始项链·雷	起源項鍊‧雷
259	オリジンネックレス・風	Origin Necklace: Air	原始项链·风	起源項鍊‧風
260	オリジンネックレス・斬	Origin Necklace: Slash	原始项链·斩	起源項鍊‧斬
261	オリジンネックレス・打	Origin Necklace: Strike	原始项链·打	起源項鍊‧打
262	オリジンネックレス・突	Origin Necklace: Stab	原始项链·突	起源項鍊‧突
263	フレアノヴァフラム	Flare Nova Bomb	闪耀新星炎烧	閃亮新星炎燒
264	ブリザードレヘルン	Blizzard Ice Bomb	暴风雪冰精	暴風雪冰精
265	トルネードルフト	Tornado Luft	龙卷风精	龍捲風風精
266	グングニルプラジグ	Gungnir Plajig	冈格尼尔雷球	岡格尼爾雷球
267	シュレッドディザスター	Shred Disaster	粉碎之灾	碎撕災厄
268	ディスペアカノン	Despair Cannon	绝望加农炮	絕望卡農砲
269	カタストクラフト	Catastro Craft	灾祸诡雷	災禍卡夫
270	爆粉うに	Explosive Uni	爆裂海胆	爆裂海膽
271	旅人のコート	Traveler's Coat	旅人的大衣	旅人的大衣
272	ヘヴィブルワーク	Heavy Bulwark	障壁重剑	障壁重劍
273	メモリアブレスレット	Memoria Bracelet	回忆手环	回憶手環
274	クラフトリオ	Craftlio	多重诡雷	卡夫三重奏
275	聖鎚・雨坤波更	Holy Torrent	圣锤·雨坤波更	聖錘‧雨坤波更
276	かく乱の鈴	Bell of Disruption	扰乱之铃	擾亂之鈴
277	異国の甲冑	Exotic Armor	异国甲胄	異國盔甲
278	ゆらぎの毒煙	Poison Smoke	飘摇的毒烟	飄搖的毒煙
279	アスラドーナツ	Ashra Donut	阿斯拉甜甜圈	阿斯拉甜甜圈
280	情熱の使者ステッキ	Passionate Envoy's Cane	热情使者杖	熱情使者的手杖
281	静穏の使者ブレード	Serene Envoy's Blade	静稳使者之刃	平靜使者之劍
282	情熱の使者コート	Passionate Envoy's Coat	热情使者大衣	熱情使者的大衣
283	静穏の使者コート	Serene Envoy's Coat	静稳使者大衣	平靜使者的大衣
284	情熱の使者ブーツ	Passionate Envoy's Boots	热情使者靴	熱情使者的靴子
285	静穏の使者ブーツ	Serene Envoy's Boots	静稳使者靴	平靜使者的靴子
286	福の杖	Fortune Staff	福之杖	福之杖
287	寿の杵	Longevity Mallet	寿之杵	壽之杵
288	福の振袖	Fortune Kimono	福之振袖	福之振袖
289	寿の羽織	Longevity Haori	寿之羽织	壽之羽織
290	福のしめ縄	Fortune Shimenawa	福之稻草绳	福之注連繩
291	寿のぽち袋	Longevity Envelope	寿之小袋	壽之紅包袋
292	小悪魔のいたずら	Imp's Mischief	小恶魔的恶作剧	小惡魔的惡作劇
293	トゥルビヨン	Tourbillon	旋风	陀飛輪
294	無彩色のローブ	Colorless Robe	单色调外袍	無色彩外袍
295	青ぷに型チャーム	Blue Puni Charm	蓝噗尼挂饰	藍噗尼掛飾
296	オーカンルフェン	Orkanruf	疾风加护	奧康路風扇
297	薫り高き杖	Fragrant Staff	芬芳之杖	芬芳之杖
298	魔法のプレート	Magic Plate	魔法胸铠	魔法胸鎧
299	薬石の耳飾り	Medical Earring	药石耳饰	藥石耳飾
300	氷棘箒	Ice Thorn Broom	冰棘扫把	冰棘掃帚
301	氷面鏡の弓	Ice Mirror Bow	冰面镜之弓	冰面鏡之弓
302	吸魂ひょうたん	Soul Absorbing Gourd	吸魂葫芦	吸魂葫蘆
303	ガラスのバラ	Glass Rose	玻璃玫瑰	玻璃玫瑰
304	疾風の小太刀	Gale Dagger	疾风小太刀	疾風的小太刀
305	金糸の鎧	Gold Thread Armor	金线铠甲	金絲之鎧
306	ストラパール	Stellapearl	史特拉珍珠	史特拉珍珠
307	エルドリッチリング・突	Eldritch Ring: Stab	怪异之环·突	怪異戒指‧突
308	エルドリッチリング・斬	Eldritch Ring: Slash	怪异之环·斩	怪異戒指‧斬
309	エルドリッチリング・打	Eldritch Ring: Strike	怪异之环·打	怪異戒指‧打
310	スタビルスト	Stabilisto	护身铠甲	穩定鎧甲
311	ストライフシャツ	Strife Shirt	战争衬衫	鬥爭襯衫
312	レゾナンスチャイム	Resonance Chime	共振铃	共振鈴
313	風よけの外套	Windbreaker	防风外套	防風外套
314	ガラスのティアラ	Glass Tiara	玻璃花冠	玻璃花冠
315	便利ほうき	Convenient Broom	便利扫把	便利掃把
316	隕鉄の鎧	Meteorite Armor	陨铁铠甲	隕鐵之鎧
317	メタルブーツ	Metal Boots	金属靴	金屬靴
318	テネブルランス	Ténèbres Lance	防御长枪	暗黑長矛
319	トモストリアイナ	Tomost Riaina	无垢法杖	聖典三叉戟
320	穢れずの鎧	Unblemished Armor	无瑕铠甲	純潔之鎧
321	ブレイブマスク	Brave Mask	英勇面具	英勇面具
322	スノーブーツ	Snow Boots	雪原靴	雪靴
323	夢幻の羽衣	Dream Raiment	梦幻羽衣	夢幻羽衣
324	酸の霧雲	Acid Fog	酸性云雾	酸的霧雲
325	アービデルトネ	Arbidel Torne	雷电大剑	艾比德魯特涅之劍
326	アネンドトス	Anendtos	闪电铠甲	亞納多特斯之鎧
327	招雷の冠	Thundercall Crown	召雷之冠	招雷頭冠
328	みなぎるドリンク	Energizing Drink	活力饮料	精力飲料
329	烽火の弓	Signal Fire Bow	烽火之弓	烽火之弓
330	サピエンスコート	Sapience Coat	现代大衣	人族外套
331	幸運の金貨	Lucky Coin	幸运金币	幸運的金幣
332	ピュアアロマ	Pure Aroma	纯净香薰	純香精油
333	フォルスマハトパワー	Force Macht Power	强力之锤	全能力量
334	ボーンプレート	Bone Plate	骨制胸铠	骨質胸鎧
335	ガントレット	Gauntlets	护手	護手
336	ハイカラなシャツ	Stylish Shirt	时髦衬衫	時髦襯衫
337	緑ぷに型チャーム	Green Puni Charm	绿噗尼挂饰	綠噗尼掛飾
338	ハートフルロッド	Heartful Wand	真心杖	真心之杖
339	ハートフルコスチューム	Heartful Dress	真心时装	真心衣裝
340	ハートフルイヤーマフ	Heartful Earmuffs	真心耳罩	真心耳罩
341	親愛の剣	Beloved Sword	情谊之剑	親愛之劍
342	親愛の鎧	Beloved Armor	情谊之铠	親愛之鎧
343	親愛のタリスマン	Beloved Talisman	情谊护符	親愛護符
344	まごころチョコレート	Wholehearted Chocolate	真心巧克力	真心巧克力
345	天使の杖	Angel Staff	天使之杖	天使之杖
346	シルキィチェイン	Silky Chainmail	丝绢链甲	絲絹鏈甲
347	勝負師のお守り	Victory Charm	赌徒的护身符	賭徒的護身符
348	魔女の杖	Witch's Staff	魔女之杖	魔女之杖
349	天使のローブ	Angel Robe	天使外袍	天使外袍
350	実影の腕輪	Shadow Band	实影手环	實影手環
351	高火力錬金大砲	High-Power Alchemy Cannon	高火力炼金大炮	高火力鍊金大砲
352	凍結破壊爆弾	Freeze Blast Bomb	冻结破坏炸弹	凍結破壞炸彈
353	力のトーテム	Power Totem	力量图腾	力量圖騰
354	凶兆水	Ominous Water	凶兆水	凶兆水
355	ハルベルト	Halberd	枪斧	槍斧
356	クリアレザー	Clear Leather Armor	光亮皮甲	純淨皮鎧
357	音無しの靴	Silent Shoes	无声之靴	無聲之靴
358	オラクルブレイド	Oracle Blade	神谕之剑	神諭之劍
359	ファントムレザーメイル	Phantom Leather Mail	幻影皮铠	魅影皮甲
360	戦いの護符	Battle Amulet	战斗护符	戰鬥的護符
361	ピロソティー	Piro Sotea	焦味苏茶	焦味蘇茶
362	アブメイン	Abmähen	横扫灵矛	長柄刀
363	狂風箒	Gale Broom	狂风扫帚	狂風掃把
364	ウィルムソウル	Wyrmsoul	亚龙之魂	亞龍之魂
365	コマンダープレート	Commander's Plate	司令胸铠	司令官胸鎧
366	ブリーズドレス	Breeze Dress	微风礼服	微風禮服
367	シルバージャケット	Silver Jacket	白银夹克	銀夾克
368	物霊のイヤリング	Spirit Earrings	物灵耳坠	物靈耳環
369	強靱はちまき	Resilient Headband	强韧头巾	強韌頭巾
370	赤ぷに型チャーム	Red Puni Charm	红噗尼挂饰	紅噗尼掛飾
371	ビギンスリング	Beginner's Sling	初发弹弓	初始彈弓
372	レゾヌマント	Raisonnement	推理风衣	理智披風
373	霊獣のシッポ	Spirit Beast's Tail	灵兽的尾巴	靈獸尾巴
374	ウィズダムハート	Heart of Wisdom	智慧之心	智慧之心
375	フリッシュコート	Frisch Coat	冰潮大衣	清新外套
376	フリーズチャーム	Freeze Charm	冰冻挂饰	冰結飾品
377	つけもの石	Weight Stone	渍物石	漬物石
378	原初の力肉	Strength Meat	原初之力肉	原初的力肉
379	魔法の鎖	Magic Chain	魔法锁链	魔法鎖鏈
380	ファウンダーブーメラン	Founder's Boomerang	创始飞镖	崩壞迴旋鏢
381	ソフトローブ	Soft Robe	柔软长袍	柔軟外袍
382	花ぷに型チャーム	Flower Puni Charm	花噗尼挂饰	花噗尼掛飾
383	鷹の目の弓	Hawkeye Bow	鹰眼之弓	鷹眼之弓
384	ゴッデスメイル	Goddess Mail	女神铠甲	女神戰甲
385	深緑の羽飾り	Feather Ornament	深绿色羽毛头饰	深綠羽毛飾品
386	シェルペルホルン	Shellper Horn	谢尔佩尔号角	謝爾佩爾號角
387	アジルチャクラム	Agile Chakram	灵动环刃	迅捷環刃
388	勇士の杖	Champion's Staff	勇士之杖	勇士之杖
389	勇士の衣	Champion's Attire	勇士之服	勇士之服
390	勇士の証	Champion's Mark	勇士之证	勇士之證
391	不屈新入生の杖	Resilient New Students' Staff	不屈新生之杖	不屈新生之杖
392	不屈新入生の制服	Resilient New Students' Uniform	不屈新生校服	不屈新生制服
