id	text	text_en	text_zh-CN	text_zh-TW
1197345384	星導石（無償）	Lodestar Gems (Free)	星导石（免费）	星導石（免費）
518103724	星導石（有償）	Lodestar Gems (Paid)	星导石（付费）	星導石（付費）
282392977	{0}{1}個を消費して	Consumes {0} x{1}	是否消耗{1}个{0}	消耗{1}個{0}
246782357	スタミナ	Stamina	体力	精力
227455831	{0}{1}を回復しますか？	Recover {0} {1}?	恢复{0}{1}？	要回復{0}{1}嗎？
460837545	上限を超過する量の{0}を獲得することはできません	Your inventory is too full to accept {0}.	无法获得超过数量上限的{0}。	無法獲得數量超過上限的{0}。
974781330	{0}が不足しています	More {0} needed.	{0}不足。	{0}不足
901154145	{0}を回復しました	{0} recovered.	已恢复{0}。	已回復{0}
101827202	挑戦回数	Attempts	挑战次数	挑戰次數
755450411	{0}リセット	Reset {0}	初始化{0}	重置{0}
1284698242	{0}をリセットしました	{0} reset.	已初始化{0}。	已重置{0}
856341608	{0}をリセットしますか？	Reset {0}?	是否初始化{0}？	要重置{0}嗎？
1271486925	スキップしますか？	Skip?	是否跳过？	要跳過嗎？
240686111	ホーム画面に戻りますか？	Return to Home Screen?	是否返回主界面？	確定要返回主頁畫面嗎？
1861332427	{0}が不足しています\n購入しますか？\n	More {0} needed.\nPurchase more?	{0}不足。\n是否购买？	{0}不足。\n要購買嗎？
1433528262	{0}不足	{0} Needed	{0}不足	{0}不足
1116498088	{0}：{1}	{0}:{1}	{0}：{1}	{0}：{1}
1846062037	購入	Purchase	购买	購買
1830788910	もう一度{0}を実行しますか？	Do {0} once again?	是否再次执行{0}？	要再次執行{0}嗎？
1289701009	マナ	Mana	玛那	瑪那
840851135	素材	Materials	素材	素材
334492536	コンテナ容量	Container Capacity	材料箱容量	材料箱容量
61761260	{0}が存在しません	No {0} available.	不存在{0}。	沒有{0}
1450551871	レシピ	Recipes	配方	配方
442088002	素材クエスト	Materials Quests	素材挑战	素材挑戰
681228818	育成クエスト	Training Quests	育成挑战	育成挑戰
871151009	極秘クエスト	Secret Quests	秘密挑战	極密挑戰
660090975	一括受け取り	Take All	一键领取	全部領取
447662393	必要	Req.	需要	需要
503550799	所持	Held	持有	持有
1450164137	>>	>>	>>	>>
1269893528	<<	<<	<<	<<
1822967180	+	+	+	+
433630410	戦闘力	Power	战斗力	戰鬥力
1190672582	推奨戦闘力	Rec. PWR	推荐战斗力	建議戰鬥力
398994788	クールタイム	Cooldown	冷却时间	冷卻時間
1300468595	使用回数	Uses	使用次数	使用次數
1742495730	ターン	Turn(s)	回合	回合
2675000	回	Turn(s)	次	次
1317772107	無料	Free	免费	免費
30674501	有償	Paid	付费	付費
1773782775	(	(	（	(
1065932291	)	)	）	)
156545043	+{0}	+{0}	+{0}	+{0}
1398443612	交換所	Exchange	兑换所	兌換所
1735484234	：	:	：	：
867225471	属性	Attr.	属性	屬性
1218431096	タイプ	Type	类型	類型
1005381529	キャンセル	Cancel	取消	取消
797779	×{0}	×{0}	×{0}	×{0}
233918512	解放条件	Unlock Requirements	解锁条件	解鎖條件
1935060166	「{0}」クリアで解放されます	Clear {0} to unlock	通关“{0}”解锁。	通關「{0}」後即會解鎖
794853487	QUEST	QUEST	QUEST	QUEST
1841555202	START	START	START	START
587992036	CLEAR	CLEAR	CLEAR	CLEAR
208168690	スタミナが{0}回復しました	Recovered {0} stamina.	已恢复{0}点体力。	已回復{0}精力
1455644765	保存	Save	保存	儲存
656705991	HP	HP	HP	HP
411646006	体力	HP	体力	體力
557909384	素早さ	SPD	敏捷	敏捷
885180877	物攻	P. ATK	物攻	物攻
291725164	物防	P. DEF	物防	物防
783846698	魔攻	M. ATK	魔攻	魔攻
1978495505	魔防	M. DEF	魔防	魔防
1149751896	アタッカー	Attacker	攻击者	攻擊者
635954523	ブレイカー	Breaker	破坏者	破壞者
1889086986	ディフェンダー	Defender	防御者	防禦者
1337153856	サポーター	Supporter	支援者	支援者
680365531	メインストーリー進行で解放されます	Unlock by progressing through the main story.	推进主线故事解锁。	將隨著主線故事進度解鎖
731034354	???	???	？？？	？？？
927698556	スタミナの回復方法を選択してください	Select stamina recovery method.	请选择恢复体力的方法。	請選擇回復精力的方法。
515995017	マナの回復方法を選択してください	Select mana amount to recover.	请选择玛那的恢复量。	請選擇瑪那的回復量。
1413286010	本日の星導石での回復可能回数：{0}/{1}	Daily Lodestar Gem recoveries: {0}/{1}	今日可用星导石恢复的次数：{0}/{1}	今日可使用星導石回復的次數：{0}/{1}
26512259	本日の回復可能回数：{0}/{1}	Daily recoveries: {0}/{1}	今日可恢复的次数：{0}/{1}	今日可回復的次數：{0}/{1}
992318103	※1日の回復回数が多いほど、消費する星導石の数が増加します。	- More Lodestar Gems will be consumed with each consecutive daily recovery used.	※一天里恢复次数越多，消耗的星导石就越多。	※單日回復越多次，就會消耗越多星導石。
669816224	{0}{1}個を使用して、スタミナを{2}回復しますか？	Use {0} ×{1} to recover {2} stamina?	是否使用{1}个{0}，恢复{2}点体力？	要使用{1}個{0}來回復{2}精力嗎？
241593941	{0}{1}個を使用して、マナを{2}回復しますか？	Use {0} ×{1} to recover {2} mana?	是否使用{1}个{0}，恢复{2}点玛那？	要使用{1}個{0}來回復{2}瑪那嗎？
161494283	星導石が<color=#ff0000>{0}個</color>不足しているため、スタミナを回復することができません。	<color=#ff0000>{0}</color> Lodestar Gems needed to recover stamina.	缺少<color=#ff0000>{0}个</color>星导石，无法恢复体力。	缺少<color=#ff0000>{0}個</color>星導石，無法回復精力。
98819977	星導石が<color=#ff0000>{0}個</color>不足しているため、マナを回復することができません。	<color=#ff0000>{0}</color> Lodestar Gems needed to recover mana.	缺少<color=#ff0000>{0}个</color>星导石，无法恢复玛那。	缺少<color=#ff0000>{0}個</color>星導石，無法回復瑪那。
40500311	{0}（有償：{1} / 無償：{2}）	{0} (Paid: {1} / Free: {2})	{0}（付费：{1} / 免费：{2}）	{0}（付費：{1} / 免費：{2}）
901450150	RANK	RANK	RANK	RANK
1884192834	選択されたアイテムは期限切れで使用できません	The selected item is expired and can't be used.	所选道具已到期，无法使用。	所選擇的道具已過期，無法使用
443496270	{0}日	{0} day(s)	{0}天	{0}天
191791300	{0}時間	{0} hour(s)	{0}小时	{0}小時
103679754	{0}分	{0} min(s)	{0}分钟	{0}分鐘
1792221674	{0}獲得	{0} Obtained	获得{0}	獲得{0}
1518111561	変換	Convert	变换	轉換
1636051411	お試し	Trial	试用	嘗試
2104982657	挑戦する	Attempt	挑战	挑戰
180570737	ダンジョン	Dungeons	迷宫	迷宮
816020211	報酬獲得	Reward(s) Obtained	获得报酬	獲得報酬
129400301	これ以上レベルを上げることはできません	Max level reached.	无法继续提升等级。	無法繼續提升等級
1498379528	LEVEL UP	LEVEL UP	LEVEL UP	LEVEL UP
368741044	レベルアップ！	Level Up!	升级！	等級上升！
1721648319	素材が選択されていません	No materials selected.	未选择素材。	尚未選擇素材
810631990	解放	Unlock	解锁	解鎖
3834794	強化	Enhance	强化	強化
827662335	必要素材	Materials Needed	所需素材	所需素材
1090568482	受取	Receive	领取	領取
351155074	おまかせ選択	Auto Select	自动选择	自動選擇
496233079	確認	Confirm	确认	確認
1285688236	進行中	In Progress	正在进行	進行中
549925954	スキップ	Skip	跳过	跳過
1989379212	一覧	List	一览	一覽
1869866004	ドロップアイテム	Item Drops	掉落道具	掉落道具
1111818971	-	-	-	-
892123806	コンテナ	Container	材料箱	材料箱
1007917396	★	★	★	★
1620833220	バトル	Battle	战斗	戰鬥
1339068782	Battle	Battle	Battle	Battle
841378743	Story	Story	Story	Story
2103796918	あと{0}	{0} left	剩余{0}	剩餘{0}
202151593	{0}後に更新	Refresh in {0}	{0}后更新	{0}後更新
2145361296	Chapter{0}-{1}のクリアで解放されます	Clear Chapter {0}-{1} to unlock.	通关Chapter {0}-{1}解锁。	通關Chapter{0}-{1}即會解鎖
356872600	A	A	A	A
1941168082	B	B	B	B
78966596	C	C	C	C
1697613081	D	D	D	D
304657807	E	E	E	E
419692320	S	S	S	S
454544628	SS	SS	SS	SS
935384789	アイテム獲得	Item(s) Obtained	获得道具	獲得道具
1280204553	NEXT	NEXT	NEXT	NEXT
40564632	{0} × {1}	{0} ×{1}	{0} ×{1}	{0} ×{1}
762907750	交換時・{0}によるお支払い	Exchange/Pay with {0}	兑换时 通过{0}支付	兌換時以{0}支付
782818665	{0}～{1}	{0}–{1}	{0}～{1}	{0}～{1}
242334359	期限なし	No limit	无期限	無期限
649112117	有償 星導石	Paid Lodestar Gems	付费 星导石	付費 星導石
1512664573	R	R	R	R
674207428	SR	SR	SR	SR
1640252154	SSR	SSR	SSR	SSR
1652275043	条件	Req.	条件	條件
1461837076	実行	Proceed	执行	執行
419121503	{0}%	{0}%	{0}%	{0}%
1225003965	{0}\n{1}	{0}\n{1}	{0}\n{1}	{0}\n{1}
635690220	{0}のピース	{0} Piece	{0}的碎片	{0}的碎片
1876703267	プレイヤーランク経験値	Player Rank EXP	玩家等级经验值	玩家級別經驗值
311754823	プレイヤー情報	Player Info	玩家信息	玩家資訊
1359491758	ストーリー回想	Story Recollection	回忆故事	故事回顧
831639016	KT App連携	Link Your KT App	绑定KT App	KT App連動
1997257504	アカウント連携	Link Your Account	绑定账号	帳號連動
1812711268	データ削除	Delete Data	删除数据	刪除資料
1816242522	情報	Information	信息	資訊
1817740817	権利表記	Copyright Notice	版权	權利標示
1912158702	クレジット	Staff Credits	制作人员	製作人員
186779183	ヘルプ	Help	帮助	指南
1302710214	所持状況	Status	持有状况	持有狀況
1557550166	所持済み	Owned	已持有	已持有
783256728	未所持	Unowned	未持有	未持有
320332604	プロフィール	Profile	个人简介	個人檔案
1028570129	終了まで あと{0}	Ends in {0}	距离结束还有{0}	距離結束還有{0}
208090327	{0}日目	Day {0}	第{0}天	第{0}天
1483190097	以下のアイテムは所持数上限のため獲得できませんでした	Unable to process request.	无法处理该请求。	無法處理該請求。
235850481	スキップの回数を設定してください	Set the number of times to skip.	请设置跳过次数	請設定跳過次數
556781927	※ 獲得済みのキャラは、ピースに変換されました	- Previously acquired Characters have been converted to Pieces.	※ 已获得的角色已自动变换为碎片。	※ 曾獲得的角色已轉換為碎片
2034638931	EQUIPMENT	EQUIPMENT	EQUIPMENT	EQUIPMENT
372781584	STATUS	STATUS	STATUS	STATUS
765602349	PROFILE	PROFILE	PROFILE	PROFILE
1169470526	SKIP	SKIP	SKIP	SKIP
1462381461	削除	Delete	删除	刪除
323309782	このアイテムでは発動しない特性です	This trait will not be active for this item.	此道具不会激发该特性。	無法在此道具發動的特性
1325111593	出現する敵	Spawning Enemies	出现敌人	出現的敵人
979715652	ハイスコア	High Score	最高分	最高成績
499657894	全項目リセット	Reset All	初始化所有项目	重置所有項目
2014036406	絞り込みリスト	Filter List	筛选列表	進階搜尋一覽
623974760	追加報酬ドロップ中！	Extra rewards are dropping now!	正在掉落追加报酬！	追加報酬掉落中！
1121696701	ドロップ量{0}倍！	{0} times the drops!	掉落量{0}倍！	掉落量{0}倍！
1758881753	調合ボーナス発生中！	Synthesis Bonus Active!	调合奖励生效中！	調合獎勵產生中！
372989721	報酬獲得UP!	Boosted battle rewards!	获得报酬提升！	獲得報酬上升！
461352078	イベント開催終了	Event Over	活动结束	活動結束
1038336232	イベントの開催が終了しました。\nホームへ戻ります。	This event has ended.\nReturning to the Home screen.	活动已结束。\n将返回主界面。	活動已結束。\n即將返回主頁。
504143284	メモリア絞り込み	Filter Memoria	筛选回忆	進階搜尋回憶
621221546	レアリティ	Rarity	稀有度	稀有度
849983244	キャラ絞り込み	Filter Characters	筛选角色	進階搜尋角色
1422708969	ロール	Roles	职种	職種
1860852542	得意属性	Affinity	擅长属性	擅長屬性
1804879603	ロックされたアイテムのみ表示	Only show locked items.	只显示已锁定道具	僅顯示已鎖定的道具
2107631530	カテゴリ	Category	类别	類別
1768637942	強化ステータス	Enhanced Stats	强化状态	強化狀態
590003966	装備種別	Equipment Type	装备种别	裝備類別
954271550	特性検索	Search Traits	搜索特性	特性檢索
1482714570	アイテム絞り込み	Filter Items	筛选道具	進階搜尋道具
1462261311	種別	Type	种别	種別
1677793128	特性レベル合計	Total Trait Level	总特性等级	特性級別總計
1110903032	調合素材絞り込み	Filter Synthesis Materials	筛选调合素材	進階搜尋調合素材
2000298830	特性分類	Trait Types	特性分类	特性分類
1415818830	特性発現カラー	Trait Reveal Colors	特性发现颜色	顯現特性色彩
212744248	レシピ絞り込み	Filter Recipes	筛选配方	進階搜尋配方
1558562814	レシピ名検索	Search Recipe Names	搜索配方名	搜尋配方名稱
675610995	戦闘アイテム絞り込み	Filter Battle Items	筛选战斗道具	進階搜尋戰鬥道具
1727902146	装備アイテム絞り込み	Filter Equipment	筛选装备道具	進階搜尋裝備道具
194704457	アイテム名検索	Search Item Names	搜索道具名	搜尋道具名稱
1374026087	ありふれた一品	Common	平庸之作	平淡無奇
129436876	星の導きに感謝を伝えるために作られた特別な石。\nガチャやスタミナの回復に使用できる。	A special stone created to show gratitude for guiding stars.\nCan be used to make a wish, or to restore stamina.	为了向星辰的指引表达感谢而制作出的特殊石头。\n可用于星愿或恢复体力。	為了感謝星之引導而製作的特別石頭。\n可使用於星願和回復精力。
1695437352	ランタナの花が刻まれた通貨。\n研究やショップで使用できる。	Currency with lanterna blossoms engraved into them.\nCan be used for research and at shops.	刻有兰塔花的货币。\n可以在研究或商店使用。	貨幣，刻有蘭塔花。\n可使用於研究與商店。
1222534353	クエストの進行に使用できる。\n回復には一定の時間を要する。	Used to undertake quests.\nRegenerates at a fixed rate.	可以在进行挑战时使用。\n恢复需要一段时间。	可於進行挑戰時使用。\n回復需要一定的時間。
1313853937	プレイヤーランクの上昇に必要な力。\nランクが上昇するとスタミナが回復する。	The strength needed to rise through the Player Ranks.\nYour stamina will be recovered when you gain a rank.	提高玩家等级时需要的力量。\n等级提升后恢复体力。	玩家級別上升所需的力量。\n級別上升後，將回復精力。
617627386	キャラの願いの欠片。集めると覚醒できる。	A fragment of a character's wishes. Collect them to perform Awakenings.	角色的愿望碎片。收集后可以觉醒。	角色願望的碎片。蒐集後即可覺醒。
447324259	スコアバトル（イベント）	Score Battles (Event)	积分战斗（活动）	積分戰（活動）
827001635	ダンジョン（イベント）	Dungeons (Event)	迷宫（活动）	迷宮（活動）
331701239	ボスチャレンジ（イベント）	Boss Challenges (Event)	头目挑战（活动）	頭目挑戰（活動）
720927273	攻撃	Attack	攻击	攻擊
1244585663	弱体	Weakening	削弱	弱化
364633322	R	R	R	R
246832814	SR	SR	SR	SR
2132596389	SSR	SSR	SSR	SSR
1874281856	削除しました	Deleted.	已删除	已刪除
2034549725	スタミナが不足しています。スタミナの回復方法を選択してください	Not enough stamina. Select a stamina recovery method.	体力不足，请选择恢复体力的方法。	精力不足。請選擇回復精力的方法
1055916885	絞り込み	Filter	筛选	進階搜尋
44256762	一括	All	一键	全部
1663793945	Ⅰ	I	Ⅰ	Ⅰ
98424157	Ⅱ	II	Ⅱ	Ⅱ
1926948299	Ⅲ	III	Ⅲ	Ⅲ
323063704	Ⅳ	IV	Ⅳ	Ⅳ
1682358018	Ⅴ	V	Ⅴ	Ⅴ
45093188	Ⅵ	VI	Ⅵ	Ⅵ
1974936018	Ⅶ	VII	Ⅶ	Ⅶ
452445117	Ⅷ	VIII	Ⅷ	Ⅷ
1844507435	Ⅸ	IX	Ⅸ	Ⅸ
221739728	Ⅹ	X	Ⅹ	Ⅹ
1031631581	EXボード	EX Board	EX星图	EX星圖
2129382710	無償	Free	免费	免費
1134510650	今日はこれ以上星導石による回復はできません	You have reached your daily limit for recovering with Lodestar Gems.	今天无法继续使用星导石恢复体力。	今天無法再使用星導石進行回復。
2068028243	残り{0}日\n{1}時間	{0} day(s), {1} hour(s) remaining.	剩余{0}天\n{1}小时	剩餘{0}天\n{1}小時
2118449307	星導石不足	Insufficient Lodestar Gems	星导石不足	星導石不足
535233938	挑戦可能回数	Remaining Attempts	可挑战次数	可挑戰次數
732552915	使用期限	Availability	使用期限	使用期限
1961290803	%	%	%	%
786323004	----	----	----	----
773921460	ホームへ戻る	Return to Home	返回主界面	返回主頁
1375445213	GET	GET	GET	GET
1393979038	消費	Consum.	消耗品	消耗品
2124496936	戦闘	Battle	战斗	戰鬥
413813668	装備	Equip.	装备	裝備
1941777283	素材	Materials	素材	素材
10394130	育成	Training	育成	育成
942392375	RESULT	RESULT	RESULT	RESULT
397938589	FAILED	FAILED	FAILED	FAILED
1110846099	STAGE FAILED	STAGE FAILED	STAGE FAILED	STAGE FAILED
2129621392	STAGE CLEAR	STAGE CLEAR	STAGE CLEAR	STAGE CLEAR
1665591627	QUEST CLEAR	QUEST CLEAR	QUEST CLEAR	QUEST CLEAR
1515338243	固定編成	Set Lineup	固定编成	固定組隊
1085839787	EXP	EXP	EXP	EXP
1517855858	高速討伐の回数を設定してください	Set the number of times to do swift hunting.	请设置高速讨伐的次数。	請設定高速討伐的次數
424108635	現在獲得可能な場所はありません	No areas available for gathering.	暂无获取途径。	現在沒有獲取途徑。
74030803	INFORMATION	INFORMATION	INFORMATION	INFORMATION
1696563065	AUTO	AUTO	AUTO	AUTO
788815188	1日1回無料	1 Free Per Day	每日1次免费	每天免費1次
528801543	EX	EX	EX	EX
2139878857	達成！	Achieved!	达成！	達成！
564097507	未選択	None selected	未选择	未選擇
487920844	Score	Score	Score	Score
1796995762	難易度{0}をクリアすると解放されます	Unlock by clearing on {0} difficulty.	通关{0}难度解锁。	通關難度{0}後解鎖。
1961972751	<color=#ff0000>{0}</color>/{1}	<color=#ff0000>{0}</color>/{1}	<color=#ff0000>{0}</color>/{1}	<color=#ff0000>{0}</color>/{1}
572587797	選択しているアイテムを所持していません	You do not possess the selected item.	未持有选择的道具。	未持有所選擇的道具。
974796258	{0}％UP	{0}% Up	{0}%UP	{0}%UP
8583443	{0}/{1}	{0}/{1}	{0}/{1}	{0}/{1}
768788716	本日の星導石での回復可能回数：<color=#ff0000>{0}/{1}</color>	Daily Lodestar Gem recoveries: <color=#ff0000>{0}/{1}</color>	今日可用星导石恢复的次数：<color=#ff0000>{0}/{1}</color>	今日可使用星導石回復的次數：<color=#ff0000>{0}/{1}</color>
1764811376	アイテム名を入力	Enter Item Name	输入道具名	請輸入道具名稱
2111872438	上限超過	Limit Exceeded	超过上限	超過上限
1850121801	超過した報酬は破棄されました	Excess rewards have been discarded.	已放弃超额报酬。	已捨棄超過的報酬。
996413146	所持光玉	Held Orbs	持有光玉	持有光玉
812862551	※経験値の上限に達するキャラがいます	- Some characters will exceed their EXP limit.	※存在经验值将到达上限的角色。	※隊伍中含有經驗值將到達上限的角色。
1264346283	実行してもよろしいですか？	Are you sure you wish to proceed?	是否确定执行？	確定要執行嗎？
1563615437	今日はこれ以上表示しない	Don't show this again today	今天不再显示	今日不再顯示
1169934497	リセット	Reset	初始化	重置
1730608163	お試しバトル	Trial Battle	体验战斗	試玩戰鬥
77888121	お試しバトルキャラ選択	Select Trial Battle Character	选择体验战斗角色	選擇試玩戰鬥的角色
2090197095	お試しバトルへ	Go to Trial Battle	前往体验战斗	前往試玩戰鬥
1665303212	これ以上増加できません	Maximum limit reached.	无法继续增加。	無法再繼續增加
96418943	これ以上減少できません	Minimum limit reached.	无法继续减少。	無法再繼續減少
1026591134	{0}、{1}	{0}, {1}	{0}、{1}	{0}、{1}
882049565	開催期間終了	Event Period Ended	活动结束	開放期間結束
540666762	{0} {1}	{0} {1}	{0} {1}	{0} {1}
1977022941	{0}:{1}	{0}:{1}	{0}:{1}	{0}:{1}
1445580898	[{0}]	[{0}]	[{0}]	[{0}]
378202732	{0}進行で解放されます	Unlocked after progressing in {0}.	推进“{0}”解锁。	將隨著{0}進度解鎖。
1646500226	消費アイテム	Consumables	消耗品	消耗品
957697866	調合素材	Synthesis Materials	调合素材	調合素材
973010116	育成素材	Training Materials	育成素材	育成素材
1510557910	{0}を所持していません	You do not own {0}.	未持有{0}。	未持有{0}。
1583118593	物理	Physical	物理	物理
114444644	魔法	Magic	魔法	魔法
64285012	火属性	Fire	火属性	火屬性
520159889	氷属性	Ice	冰属性	冰屬性
1382822480	雷属性	Bolt	雷属性	雷屬性
2046932069	風属性	Air	风属性	風屬性
1482436302	打属性	Strike	打击属性	打屬性
342724541	斬属性	Slash	斩击属性	斬屬性
1188410530	突属性	Stab	突刺属性	突屬性
1843535287	({0})	({0})	({0})	({0})
1458071214	{0}で解放されます	Unlocked after {0}.	通过{0}解锁。	能以{0}解鎖。
667586394	ALL	ALL	ALL	ALL
1611194964	モーション1	Motion 1	动作1	動作1
117328918	モーション2	Motion 2	动作2	動作2
1912175744	モーション3	Motion 3	动作3	動作3
274863837	モーション4	Motion 4	动作4	動作4
1734682187	モーション5	Motion 5	动作5	動作5
26445839	モーション6	Motion 6	动作6	動作6
1989458073	モーション7	Motion 7	动作7	動作7
433347320	モーション8	Motion 8	动作8	動作8
1859349090	モーション9	Motion 9	动作9	動作9
236249989	モーション10	Motion 10	动作10	動作10
1083685399	表情1	Expression 1	表情1	表情1
643896403	表情2	Expression 2	表情2	表情2
1365648581	表情3	Expression 3	表情3	表情3
821907098	表情4	Expression 4	表情4	表情4
1207598608	表情5	Expression 5	表情5	表情5
554487882	表情6	Expression 6	表情6	表情6
1443619036	表情7	Expression 7	表情7	表情7
961217203	表情8	Expression 8	表情8	表情8
1313616421	表情9	Expression 9	表情9	表情9
780909506	表情10	Expression 10	表情10	表情10
1502382936	表情11	Expression 11	表情11	表情11
1064969490	表情12	Expression 12	表情12	表情12
1216157060	表情13	Expression 13	表情13	表情13
702971865	表情14	Expression 14	表情14	表情14
1591824207	表情15	Expression 15	表情15	表情15
1954624277	ボイス1	Voice 1	语音1	語音1
309828945	ボイス2	Voice 2	语音2	語音2
1701883335	ボイス3	Voice 3	语音3	語音3
82560922	ボイス4	Voice 4	语音4	語音4
1944909580	ボイス5	Voice 5	语音5	語音5
354048330	ボイス6	Voice 6	语音6	語音6
1646094816	ボイス7	Voice 7	语音7	語音7
224234417	ボイス8	Voice 8	语音8	語音8
2052766503	ボイス9	Voice 9	语音9	語音9
446509762	ボイス10	Voice 10	语音10	語音10
1838809684	ボイス11	Voice 11	语音11	語音11
191671314	ボイス12	Voice 12	语音12	語音12
2087427208	ボイス13	Voice 13	语音13	語音13
502331099	ボイス14	Voice 14	语音14	語音14
1794623053	ボイス15	Voice 15	语音15	語音15
647210478	1日{0}回無料	{0} Free Per Day	每日{0}次免费	每天免費{0}次
647210479	写真を保存しました	Photo Saved	已保存照片。	已儲存照片
647210480	赤	Red	红	紅
647210481	青	Blue	蓝	藍
647210482	緑	Green	绿	綠
647210483	紫	Purple	紫	紫
647210484	黄	Yellow	黄	黃
1410281569	{0}.{1}	{0}.{1}	{0}.{1}	{0}.{1}
133021450	予備スタミナ	Reserve Stamina	备用体力	備用精力
1770748823	予備のスタミナ。\nスタミナが上限のとき時間経過で貯まっていく。	Reserve Stamina.\nAccumulates over time when stamina is full.	备用的体力。\n体力达到上限时，将随时间经过而积累。	備用的精力。\n精力達到上限時會隨著時間累積。
222078752	本日の無料での回復可能回数：{0}/{1}	Today's Free Recoveries: {0}/{1}	今日可免费恢复的次数：{0}/{1}	今日可免費回復的次數：{0}/{1}
1357571430	本日の無料での回復可能回数：<color=#ff0000>{0}/{1}</color>	Today's Free Recoveries: <color=#ff0000>{0}/{1}</color>	今日可免费恢复的次数：<color=#ff0000>{0}/{1}</color>	今日可免費回復的次數：<color=#ff0000>{0}/{1}</color>
1473762514	個		个	個
478526993	選択中	Selected	已选择	選擇中
